edadDias,SD3negPEF,SD2negPEF,SD1negPEF,SD0PEF,SD1PEF,SD2PEF,SD3PEF,SD3negPEM,SD2negPEM,SD1negPEM,SD0PEM,SD1PEM,SD2PEM,SD3PEM,SD3negTEF,SD2negTEF,SD1negTEF,SD0TEF,SD1TEF,SD2TEF,SD3TEF,SD3negTEM,SD2negTEM,SD1negTEM,SD0TEM,SD1TEM,SD2TEM,SD3TEM,SD3negIEF,SD2negIEF,SD1negIEF,SD0IEF,SD1IEF,SD2IEF,SD3IEF,SD3negIEM,SD2negIEM,SD1negIEM,SD0IEM,SD1IEM,SD2IEM,SD3IEM,Rotulo,SD15negPEF,SD15negPEM,SD15PEF,SD15PEM,SD15negTEF,SD15negTEM,SD15TEF,SD15TEM,SD15negIEF,SD15negIEM,SD15IEF,SD15IEM
617,7.527,8.432,9.481,10.700,12.130,13.810,15.810,8.138,9.107,10.190,11.400,12.750,14.260,15.950,73.884,76.912,79.939,82.967,85.994,89.022,92.049,75.965,78.795,81.625,84.455,87.286,90.116,92.946,12.227,13.206,14.313,15.569,17.004,18.653,20.562,12.803,13.735,14.779,15.954,17.286,18.804,20.545,NULL,8.957,9.649,12.970,13.505,78.425,80.210,87.508,88.701,13.759,14.257,17.828,18.045
618,7.532,8.437,9.487,10.700,12.140,13.820,15.820,8.143,9.112,10.190,11.400,12.760,14.270,15.970,73.910,76.940,79.969,82.998,86.028,89.057,92.087,75.990,78.822,81.654,84.486,87.318,90.150,92.982,12.225,13.205,14.311,15.567,17.001,18.650,20.559,12.802,13.733,14.777,15.952,17.284,18.801,20.541,NULL,8.962,9.651,12.980,13.515,78.454,80.238,87.543,88.734,13.758,14.255,17.826,18.043
619,7.536,8.443,9.493,10.710,12.140,13.830,15.830,8.147,9.117,10.200,11.410,12.770,14.280,15.980,73.938,76.969,80.000,83.030,86.061,89.091,92.122,76.016,78.849,81.683,84.517,87.351,90.185,93.019,12.224,13.204,14.310,15.565,16.999,18.647,20.556,12.800,13.731,14.774,15.950,17.281,18.798,20.539,NULL,8.968,9.659,12.985,13.525,78.484,80.266,87.576,88.768,13.757,14.252,17.823,18.040
620,7.541,8.448,9.499,10.720,12.150,13.840,15.840,8.152,9.122,10.200,11.420,12.770,14.290,15.990,73.964,76.997,80.029,83.062,86.094,89.127,92.160,76.041,78.876,81.712,84.548,87.384,90.219,93.055,12.223,13.202,14.308,15.563,16.997,18.645,20.554,12.799,13.729,14.772,15.947,17.278,18.795,20.535,NULL,8.973,9.661,12.995,13.530,78.513,80.294,87.611,88.802,13.755,14.251,17.821,18.037
621,7.546,8.453,9.505,10.730,12.160,13.850,15.850,8.156,9.127,10.210,11.420,12.780,14.300,16.000,73.990,77.024,80.059,83.094,86.128,89.163,92.197,76.063,78.902,81.740,84.579,87.417,90.256,93.094,12.222,13.201,14.306,15.561,16.995,18.643,20.551,12.797,13.727,14.770,15.945,17.276,18.792,20.533,NULL,8.979,9.668,13.005,13.540,78.541,80.321,87.645,88.837,13.754,14.248,17.819,18.034
622,7.551,8.459,9.511,10.730,12.170,13.860,15.860,8.160,9.132,10.210,11.430,12.790,14.310,16.010,74.015,77.052,80.089,83.125,86.162,89.198,92.235,76.088,78.929,81.769,84.610,87.450,90.290,93.131,12.221,13.199,14.304,15.559,16.993,18.641,20.549,12.796,13.726,14.768,15.943,17.273,18.790,20.529,NULL,8.985,9.671,13.015,13.550,78.570,80.349,87.680,88.870,13.752,14.247,17.817,18.032
623,7.556,8.464,9.517,10.740,12.170,13.870,15.870,8.165,9.137,10.220,11.440,12.800,14.320,16.020,74.044,77.081,80.119,83.157,86.195,89.232,92.270,76.114,78.956,81.798,84.640,87.483,90.325,93.167,12.220,13.198,14.303,15.557,16.990,18.638,20.546,12.794,13.724,14.766,15.940,17.270,18.786,20.526,NULL,8.991,9.678,13.020,13.560,78.600,80.377,87.713,88.904,13.751,14.245,17.814,18.028
624,7.560,8.469,9.523,10.750,12.180,13.870,15.880,8.169,9.142,10.230,11.440,12.800,14.330,16.030,74.069,77.109,80.149,83.188,86.228,89.268,92.308,76.139,78.983,81.827,84.671,87.515,90.359,93.203,12.219,13.197,14.301,15.556,16.988,18.636,20.544,12.793,13.722,14.764,15.938,17.268,18.784,20.523,NULL,8.996,9.686,13.025,13.565,78.629,80.405,87.748,88.937,13.749,14.243,17.812,18.026
625,7.565,8.475,9.529,10.750,12.190,13.880,15.890,8.174,9.147,10.230,11.450,12.810,14.330,16.040,74.095,77.137,80.178,83.220,86.262,89.303,92.345,76.164,79.010,81.856,84.702,87.548,90.394,93.240,12.218,13.195,14.300,15.554,16.986,18.633,20.542,12.791,13.721,14.762,15.936,17.265,18.781,20.520,NULL,9.002,9.688,13.035,13.570,78.657,80.433,87.782,88.971,13.748,14.242,17.809,18.023
626,7.570,8.480,9.535,10.760,12.200,13.890,15.900,8.178,9.153,10.240,11.460,12.820,14.340,16.050,74.120,77.164,80.208,83.252,86.295,89.339,92.383,76.189,79.037,81.885,84.732,87.580,90.428,93.276,12.217,13.194,14.298,15.552,16.984,18.631,20.539,12.790,13.719,14.760,15.933,17.263,18.778,20.517,NULL,9.008,9.697,13.045,13.580,78.686,80.461,87.817,89.004,13.746,14.239,17.808,18.020
627,7.575,8.485,9.541,10.770,12.210,13.900,15.910,8.183,9.158,10.240,11.460,12.830,14.350,16.060,74.149,77.193,80.238,83.283,86.328,89.373,92.418,76.214,79.064,81.913,84.763,87.613,90.463,93.312,12.215,13.193,14.296,15.550,16.982,18.629,20.537,12.788,13.717,14.758,15.931,17.260,18.775,20.514,NULL,9.013,9.699,13.055,13.590,78.716,80.489,87.850,89.038,13.745,14.238,17.805,18.017
628,7.579,8.491,9.547,10.770,12.210,13.910,15.920,8.187,9.163,10.250,11.470,12.830,14.360,16.070,74.174,77.221,80.268,83.315,86.361,89.408,92.455,76.239,79.090,81.942,84.794,87.645,90.497,93.349,12.214,13.191,14.295,15.548,16.980,18.626,20.534,12.787,13.715,14.756,15.929,17.258,18.773,20.512,NULL,9.019,9.707,13.060,13.595,78.745,80.516,87.885,89.071,13.743,14.236,17.803,18.015
629,7.584,8.496,9.553,10.780,12.220,13.920,15.930,8.191,9.168,10.260,11.480,12.840,14.370,16.080,74.200,77.248,80.297,83.346,86.395,89.444,92.493,76.264,79.117,81.971,84.824,87.678,90.531,93.385,12.213,13.190,14.293,15.546,16.978,18.624,20.532,12.785,13.714,14.754,15.927,17.255,18.770,20.508,NULL,9.024,9.714,13.070,13.605,78.772,80.544,87.919,89.105,13.742,14.234,17.801,18.012
630,7.589,8.501,9.559,10.790,12.230,13.930,15.940,8.196,9.173,10.260,11.480,12.850,14.380,16.090,74.225,77.276,80.327,83.378,86.428,89.479,92.530,76.289,79.144,82.000,84.855,87.710,90.566,93.421,12.212,13.189,14.292,15.544,16.976,18.622,20.529,12.784,13.712,14.752,15.924,17.253,18.767,20.506,NULL,9.030,9.716,13.080,13.615,78.802,80.572,87.954,89.138,13.741,14.232,17.799,18.010
631,7.594,8.507,9.565,10.790,12.240,13.940,15.950,8.200,9.178,10.270,11.490,12.860,14.390,16.100,74.253,77.305,80.357,83.409,86.461,89.513,92.565,76.311,79.169,82.027,84.886,87.744,90.602,93.460,12.211,13.187,14.290,15.542,16.973,18.619,20.527,12.782,13.710,14.750,15.922,17.250,18.764,20.503,NULL,9.036,9.724,13.090,13.625,78.831,80.598,87.987,89.173,13.739,14.230,17.796,18.007
632,7.599,8.512,9.571,10.800,12.240,13.950,15.960,8.205,9.183,10.270,11.500,12.870,14.400,16.110,74.279,77.332,80.386,83.440,86.494,89.548,92.602,76.336,79.196,82.056,84.916,87.776,90.636,93.496,12.210,13.186,14.288,15.541,16.971,18.617,20.525,12.781,13.708,14.748,15.920,17.248,18.761,20.499,NULL,9.041,9.726,13.095,13.635,78.859,80.626,88.021,89.206,13.737,14.228,17.794,18.005
633,7.603,8.517,9.577,10.810,12.250,13.960,15.970,8.209,9.188,10.280,11.500,12.870,14.410,16.120,74.304,77.360,80.416,83.472,86.528,89.583,92.639,76.361,79.223,82.085,84.946,87.808,90.670,93.532,12.209,13.185,14.287,15.539,16.969,18.615,20.522,12.779,13.707,14.746,15.918,17.245,18.759,20.497,NULL,9.047,9.734,13.105,13.640,78.888,80.654,88.055,89.239,13.736,14.226,17.792,18.002
634,7.608,8.523,9.583,10.810,12.260,13.960,15.980,8.213,9.193,10.280,11.510,12.880,14.410,16.130,74.329,77.387,80.445,83.503,86.561,89.619,92.677,76.386,79.250,82.113,84.977,87.841,90.704,93.568,12.208,13.183,14.285,15.537,16.967,18.613,20.520,12.778,13.705,14.744,15.915,17.243,18.756,20.494,NULL,9.053,9.736,13.110,13.645,78.916,80.681,88.090,89.272,13.734,14.225,17.790,18.000
635,7.613,8.528,9.589,10.820,12.270,13.970,15.990,8.218,9.198,10.290,11.520,12.890,14.420,16.140,74.357,77.416,80.475,83.534,86.593,89.652,92.711,76.411,79.276,82.142,85.008,87.873,90.739,93.604,12.207,13.182,14.284,15.535,16.965,18.611,20.517,12.776,13.703,14.742,15.913,17.240,18.754,20.491,NULL,9.059,9.744,13.120,13.655,78.945,80.709,88.123,89.306,13.733,14.223,17.788,17.997
636,7.618,8.533,9.595,10.830,12.280,13.980,16.000,8.222,9.203,10.300,11.520,12.900,14.430,16.150,74.383,77.444,80.505,83.566,86.627,89.688,92.749,76.435,79.303,82.170,85.038,87.905,90.773,93.640,12.206,13.181,14.282,15.533,16.963,18.609,20.515,12.775,13.702,14.740,15.911,17.238,18.751,20.488,NULL,9.064,9.752,13.130,13.665,78.975,80.737,88.157,89.339,13.732,14.221,17.786,17.994
637,7.622,8.539,9.601,10.830,12.280,13.990,16.020,8.227,9.208,10.300,11.530,12.900,14.440,16.160,74.408,77.471,80.534,83.597,86.660,89.723,92.786,76.460,79.330,82.199,85.068,87.938,90.807,93.676,12.205,13.179,14.281,15.532,16.961,18.606,20.513,12.774,13.700,14.738,15.909,17.235,18.748,20.486,NULL,9.070,9.754,13.135,13.670,79.002,80.764,88.192,89.373,13.730,14.219,17.784,17.991
638,7.627,8.544,9.607,10.840,12.290,14.000,16.030,8.231,9.213,10.310,11.540,12.910,14.450,16.170,74.433,77.498,80.563,83.628,86.693,89.758,92.823,76.485,79.356,82.227,85.099,87.970,90.841,93.712,12.204,13.178,14.279,15.530,16.959,18.604,20.510,12.772,13.698,14.736,15.906,17.233,18.745,20.482,NULL,9.075,9.761,13.145,13.680,79.031,80.791,88.225,89.406,13.729,14.217,17.782,17.989
639,7.632,8.549,9.613,10.850,12.300,14.010,16.040,8.236,9.218,10.310,11.540,12.920,14.460,16.180,74.461,77.527,80.593,83.660,86.726,89.792,92.858,76.510,79.383,82.256,85.129,88.002,90.875,93.748,12.203,13.177,14.278,15.528,16.957,18.602,20.508,12.771,13.697,14.734,15.904,17.230,18.743,20.479,NULL,9.081,9.764,13.155,13.690,79.060,80.820,88.259,89.439,13.727,14.216,17.779,17.986
640,7.637,8.555,9.619,10.850,12.310,14.020,16.050,8.240,9.223,10.320,11.550,12.930,14.470,16.190,74.486,77.554,80.623,83.691,86.759,89.827,92.895,76.532,79.408,82.284,85.159,88.035,90.911,93.787,12.202,13.176,14.276,15.526,16.955,18.600,20.506,12.769,13.695,14.732,15.902,17.228,18.740,20.477,9,9.087,9.771,13.165,13.700,79.088,80.846,88.293,89.473,13.726,14.213,17.777,17.984
641,7.641,8.560,9.625,10.860,12.310,14.030,16.060,8.244,9.228,10.320,11.560,12.930,14.480,16.200,74.512,77.582,80.652,83.722,86.792,89.862,92.932,76.557,79.434,82.312,85.190,88.067,90.945,93.823,12.201,13.174,14.275,15.525,16.953,18.598,20.504,12.768,13.693,14.731,15.900,17.225,18.737,20.474,NULL,9.092,9.774,13.170,13.705,79.117,80.873,88.327,89.506,13.725,14.212,17.776,17.981
642,7.646,8.565,9.631,10.870,12.320,14.040,16.070,8.249,9.233,10.330,11.560,12.940,14.490,16.210,74.537,77.609,80.681,83.753,86.825,89.897,92.969,76.581,79.461,82.340,85.220,88.100,90.979,93.859,12.200,13.173,14.273,15.523,16.951,18.595,20.501,12.767,13.692,14.729,15.898,17.223,18.735,20.471,NULL,9.098,9.781,13.180,13.715,79.145,80.900,88.361,89.540,13.723,14.210,17.773,17.979
643,7.651,8.571,9.637,10.870,12.330,14.050,16.080,8.253,9.238,10.340,11.570,12.950,14.490,16.220,74.565,77.638,80.711,83.784,86.857,89.931,93.004,76.606,79.487,82.369,85.250,88.132,91.013,93.895,12.199,13.172,14.272,15.521,16.949,18.593,20.499,12.765,13.690,14.727,15.896,17.221,18.732,20.468,NULL,9.104,9.789,13.190,13.720,79.174,80.928,88.394,89.573,13.722,14.209,17.771,17.977
644,7.656,8.576,9.643,10.880,12.340,14.050,16.090,8.257,9.243,10.340,11.580,12.960,14.500,16.230,74.590,77.665,80.740,83.815,86.890,89.966,93.041,76.630,79.514,82.397,85.280,88.164,91.047,93.931,12.198,13.171,14.270,15.519,16.948,18.591,20.497,12.764,13.688,14.725,15.894,17.218,18.730,20.466,NULL,9.110,9.791,13.195,13.730,79.203,80.956,88.428,89.606,13.720,14.207,17.770,17.974
645,7.660,8.581,9.649,10.890,12.350,14.060,16.100,8.262,9.248,10.350,11.580,12.960,14.510,16.240,74.615,77.692,80.769,83.846,86.924,90.001,93.078,76.655,79.540,82.426,85.311,88.196,91.081,93.966,12.197,13.170,14.269,15.518,16.946,18.589,20.494,12.763,13.687,14.723,15.891,17.216,18.727,20.462,NULL,9.115,9.799,13.205,13.735,79.231,80.983,88.463,89.638,13.720,14.205,17.767,17.971
646,7.665,8.587,9.655,10.900,12.350,14.070,16.110,8.266,9.253,10.350,11.590,12.970,14.520,16.250,74.640,77.719,80.798,83.877,86.957,90.036,93.115,76.680,79.567,82.454,85.341,88.228,91.115,94.002,12.196,13.168,14.267,15.516,16.944,18.587,20.493,12.761,13.685,14.721,15.889,17.214,18.724,20.460,NULL,9.121,9.802,13.210,13.745,79.258,81.010,88.496,89.671,13.717,14.203,17.765,17.969
647,7.670,8.592,9.661,10.900,12.360,14.080,16.120,8.271,9.258,10.360,11.600,12.980,14.530,16.260,74.668,77.748,80.828,83.908,86.989,90.069,93.149,76.704,79.593,82.482,85.371,88.260,91.149,94.038,12.195,13.167,14.266,15.514,16.942,18.585,20.490,12.760,13.683,14.719,15.887,17.211,18.722,20.457,NULL,9.127,9.809,13.220,13.755,79.288,81.037,88.529,89.704,13.716,14.201,17.764,17.966
648,7.675,8.597,9.667,10.910,12.370,14.090,16.130,8.275,9.263,10.360,11.600,12.990,14.540,16.270,74.693,77.775,80.857,83.940,87.022,90.104,93.186,76.729,79.620,82.510,85.401,88.292,91.183,94.074,12.194,13.166,14.264,15.513,16.940,18.583,20.488,12.759,13.682,14.718,15.885,17.209,18.719,20.454,NULL,9.132,9.812,13.230,13.765,79.316,81.065,88.563,89.737,13.715,14.200,17.762,17.964
649,7.679,8.602,9.673,10.920,12.380,14.100,16.140,8.280,9.268,10.370,11.610,13.000,14.550,16.280,74.718,77.802,80.886,83.970,87.055,90.139,93.223,76.751,79.644,82.538,85.431,88.325,91.219,94.112,12.193,13.165,14.263,15.511,16.938,18.581,20.486,12.757,13.680,14.716,15.883,17.206,18.717,20.452,NULL,9.137,9.819,13.240,13.775,79.344,81.091,88.597,89.772,13.714,14.198,17.759,17.962
650,7.684,8.608,9.679,10.920,12.380,14.110,16.150,8.284,9.273,10.380,11.620,13.000,14.560,16.290,74.743,77.829,80.915,84.001,87.088,90.174,93.260,76.775,79.671,82.566,85.462,88.357,91.252,94.148,12.192,13.164,14.262,15.509,16.936,18.579,20.483,12.756,13.679,14.714,15.881,17.204,18.714,20.449,NULL,9.143,9.826,13.245,13.780,79.372,81.118,88.631,89.805,13.713,14.197,17.758,17.959
651,7.689,8.613,9.685,10.930,12.390,14.120,16.160,8.288,9.278,10.380,11.620,13.010,14.570,16.310,74.770,77.858,80.945,84.032,87.120,90.207,93.294,76.800,79.697,82.594,85.492,88.389,91.286,94.184,12.191,13.162,14.260,15.508,16.934,18.577,20.482,12.754,13.677,14.712,15.879,17.202,18.712,20.446,NULL,9.149,9.829,13.255,13.790,79.401,81.145,88.663,89.838,13.711,14.194,17.756,17.957
652,7.694,8.619,9.691,10.940,12.400,14.130,16.170,8.293,9.283,10.390,11.630,13.020,14.570,16.310,74.795,77.885,80.974,84.063,87.153,90.242,93.331,76.824,79.723,82.623,85.522,88.421,91.320,94.219,12.190,13.161,14.259,15.506,16.932,18.574,20.479,12.753,13.676,14.710,15.877,17.199,18.709,20.443,NULL,9.155,9.836,13.265,13.795,79.430,81.173,88.698,89.871,13.710,14.193,17.753,17.954
653,7.699,8.624,9.697,10.940,12.410,14.140,16.180,8.297,9.288,10.390,11.640,13.030,14.580,16.330,74.820,77.912,81.003,84.094,87.185,90.277,93.368,76.849,79.750,82.651,85.552,88.453,91.354,94.255,12.189,13.160,14.257,15.504,16.931,18.573,20.478,12.752,13.674,14.708,15.874,17.197,18.706,20.441,NULL,9.161,9.839,13.275,13.805,79.457,81.201,88.731,89.903,13.709,14.191,17.752,17.951
654,7.703,8.629,9.703,10.950,12.420,14.140,16.190,8.301,9.293,10.400,11.640,13.030,14.590,16.340,74.845,77.938,81.032,84.125,87.218,90.312,93.405,76.873,79.776,82.679,85.582,88.485,91.388,94.290,12.188,13.159,14.256,15.503,16.929,18.570,20.475,12.751,13.672,14.706,15.872,17.195,18.704,20.438,NULL,9.166,9.847,13.280,13.810,79.485,81.228,88.765,89.936,13.707,14.189,17.750,17.950
655,7.708,8.634,9.709,10.960,12.420,14.150,16.200,8.306,9.298,10.400,11.650,13.040,14.600,16.350,74.873,77.967,81.061,84.156,87.250,90.345,93.439,76.897,79.802,82.707,85.612,88.517,91.421,94.326,12.187,13.158,14.255,15.501,16.927,18.569,20.473,12.749,13.671,14.705,15.870,17.193,18.702,20.436,NULL,9.171,9.849,13.285,13.820,79.514,81.254,88.797,89.969,13.707,14.188,17.748,17.948
656,7.713,8.640,9.715,10.960,12.430,14.160,16.220,8.310,9.303,10.410,11.660,13.050,14.610,16.360,74.898,77.994,81.090,84.187,87.283,90.379,93.476,76.922,79.828,82.735,85.642,88.548,91.455,94.362,12.186,13.157,14.253,15.500,16.925,18.567,20.471,12.748,13.669,14.703,15.868,17.190,18.699,20.433,NULL,9.178,9.857,13.295,13.830,79.542,81.281,88.831,90.001,13.705,14.186,17.746,17.945
657,7.718,8.645,9.721,10.970,12.440,14.170,16.230,8.315,9.308,10.420,11.660,13.060,14.620,16.370,74.922,78.021,81.119,84.217,87.316,90.414,93.512,76.943,79.853,82.762,85.672,88.581,91.490,94.400,12.185,13.155,14.252,15.498,16.923,18.565,20.469,12.746,13.668,14.701,15.866,17.188,18.697,20.430,NULL,9.183,9.864,13.305,13.840,79.570,81.308,88.865,90.035,13.704,14.184,17.744,17.942
658,7.722,8.650,9.727,10.980,12.450,14.180,16.240,8.319,9.313,10.420,11.670,13.060,14.630,16.380,74.947,78.048,81.148,84.248,87.349,90.449,93.549,76.968,79.879,82.790,85.702,88.613,91.524,94.435,12.185,13.154,14.251,15.496,16.922,18.563,20.467,12.745,13.666,14.699,15.864,17.186,18.694,20.427,NULL,9.188,9.867,13.315,13.845,79.598,81.335,88.899,90.069,13.703,14.182,17.742,17.940
659,7.727,8.656,9.733,10.980,12.460,14.190,16.250,8.323,9.318,10.430,11.680,13.070,14.640,16.390,74.975,78.076,81.177,84.279,87.380,90.482,93.583,76.992,79.905,82.818,85.731,88.645,91.558,94.471,12.184,13.153,14.249,15.495,16.920,18.561,20.465,12.744,13.665,14.698,15.862,17.183,18.691,20.425,NULL,9.194,9.874,13.325,13.855,79.626,81.362,88.931,90.102,13.701,14.181,17.741,17.937
660,7.732,8.661,9.739,10.990,12.460,14.200,16.260,8.328,9.323,10.430,11.680,13.080,14.650,16.400,74.999,78.103,81.206,84.310,87.413,90.516,93.620,77.016,79.931,82.846,85.761,88.676,91.591,94.506,12.183,13.152,14.248,15.493,16.918,18.559,20.463,12.743,13.663,14.696,15.860,17.181,18.689,20.422,NULL,9.200,9.877,13.330,13.865,79.654,81.388,88.965,90.133,13.700,14.180,17.738,17.935
661,7.737,8.666,9.745,11.000,12.470,14.210,16.270,8.332,9.328,10.440,11.690,13.090,14.650,16.410,75.024,78.129,81.235,84.340,87.446,90.551,93.657,77.040,79.957,82.874,85.791,88.708,91.625,94.542,12.182,13.151,14.247,15.492,16.916,18.557,20.461,12.741,13.662,14.694,15.858,17.179,18.686,20.419,NULL,9.206,9.884,13.340,13.870,79.682,81.415,88.999,90.166,13.699,14.178,17.736,17.933
662,7.741,8.672,9.751,11.000,12.480,14.220,16.280,8.336,9.333,10.450,11.700,13.100,14.660,16.420,75.049,78.156,81.264,84.371,87.478,90.586,93.693,77.065,79.983,82.902,85.821,88.740,91.659,94.577,12.181,13.150,14.245,15.490,16.914,18.555,20.459,12.740,13.660,14.692,15.856,17.177,18.684,20.417,NULL,9.211,9.892,13.350,13.880,79.710,81.442,89.032,90.200,13.697,14.176,17.735,17.930
663,7.746,8.677,9.757,11.010,12.490,14.230,16.290,8.341,9.338,10.450,11.700,13.100,14.670,16.430,75.076,78.185,81.293,84.402,87.510,90.619,93.727,77.089,80.010,82.930,85.851,88.771,91.692,94.613,12.180,13.149,14.244,15.489,16.913,18.553,20.457,12.739,13.659,14.690,15.854,17.174,18.681,20.414,NULL,9.217,9.894,13.360,13.885,79.739,81.470,89.064,90.231,13.697,14.175,17.733,17.927
664,7.751,8.682,9.763,11.020,12.490,14.230,16.300,8.345,9.343,10.460,11.710,13.110,14.680,16.440,75.101,78.211,81.322,84.432,87.543,90.653,93.764,77.110,80.034,82.957,85.881,88.804,91.727,94.651,12.179,13.148,14.243,15.487,16.911,18.551,20.455,12.737,13.657,14.689,15.852,17.172,18.679,20.412,NULL,9.223,9.902,13.360,13.895,79.766,81.496,89.098,90.266,13.695,14.173,17.731,17.925
665,7.756,8.688,9.769,11.020,12.500,14.240,16.310,8.350,9.348,10.460,11.720,13.120,14.690,16.450,75.125,78.238,81.350,84.463,87.575,90.688,93.800,77.135,80.060,82.985,85.910,88.836,91.761,94.686,12.179,13.147,14.241,15.486,16.909,18.549,20.453,12.736,13.656,14.687,15.850,17.170,18.677,20.409,NULL,9.229,9.904,13.370,13.905,79.794,81.522,89.132,90.299,13.694,14.171,17.729,17.924
666,7.760,8.693,9.775,11.030,12.510,14.250,16.320,8.354,9.353,10.470,11.720,13.130,14.700,16.460,75.150,78.265,81.379,84.493,87.608,90.722,93.837,77.159,80.086,83.013,85.940,88.867,91.794,94.721,12.178,13.146,14.240,15.484,16.908,18.548,20.451,12.735,13.654,14.685,15.848,17.168,18.674,20.407,NULL,9.234,9.912,13.380,13.915,79.822,81.549,89.165,90.331,13.693,14.169,17.728,17.921
667,7.765,8.698,9.781,11.040,12.520,14.260,16.330,8.358,9.358,10.470,11.730,13.130,14.710,16.470,75.177,78.293,81.408,84.524,87.639,90.755,93.871,77.183,80.112,83.041,85.970,88.899,91.828,94.757,12.177,13.145,14.239,15.483,16.906,18.545,20.449,12.734,13.653,14.683,15.846,17.166,18.672,20.404,NULL,9.239,9.914,13.390,13.920,79.850,81.576,89.197,90.364,13.692,14.168,17.726,17.919
668,7.770,8.704,9.787,11.050,12.530,14.270,16.340,8.363,9.363,10.480,11.740,13.140,14.720,16.480,75.202,78.319,81.437,84.554,87.672,90.790,93.907,77.207,80.138,83.069,86.000,88.930,91.861,94.792,12.176,13.144,14.237,15.481,16.904,18.543,20.447,12.732,13.651,14.682,15.844,17.164,18.670,20.402,NULL,9.245,9.921,13.400,13.930,79.878,81.603,89.231,90.395,13.691,14.166,17.724,17.917
669,7.775,8.709,9.793,11.050,12.530,14.280,16.350,8.367,9.368,10.490,11.740,13.150,14.730,16.490,75.227,78.346,81.466,84.585,87.704,90.824,93.943,77.231,80.164,83.096,86.029,88.962,91.895,94.827,12.175,13.143,14.236,15.480,16.903,18.542,20.445,12.731,13.650,14.680,15.842,17.161,18.667,20.399,NULL,9.251,9.929,13.405,13.940,79.906,81.630,89.264,90.428,13.690,14.165,17.723,17.914
670,7.779,8.714,9.799,11.060,12.540,14.290,16.360,8.371,9.373,10.490,11.750,13.160,14.730,16.500,75.251,78.372,81.494,84.615,87.737,90.858,93.980,77.255,80.190,83.124,86.059,88.994,91.928,94.863,12.175,13.142,14.235,15.478,16.901,18.540,20.443,12.730,13.648,14.678,15.840,17.159,18.665,20.397,10,9.257,9.931,13.415,13.945,79.933,81.657,89.297,90.461,13.688,14.163,17.721,17.912
671,7.784,8.720,9.805,11.070,12.550,14.300,16.370,8.376,9.378,10.500,11.760,13.160,14.740,16.510,75.278,78.401,81.523,84.646,87.768,90.891,94.014,77.279,80.216,83.152,86.088,89.025,91.961,94.898,12.174,13.140,14.234,15.477,16.899,18.538,20.441,12.729,13.647,14.677,15.838,17.157,18.662,20.394,NULL,9.262,9.939,13.425,13.950,79.962,81.684,89.329,90.493,13.687,14.162,17.718,17.910
672,7.789,8.725,9.811,11.070,12.560,14.310,16.380,8.380,9.383,10.500,11.760,13.170,14.750,16.520,75.303,78.427,81.552,84.676,87.801,90.925,94.050,77.300,80.240,83.179,86.118,89.057,91.997,94.936,12.173,13.140,14.232,15.475,16.897,18.536,20.439,12.728,13.645,14.675,15.837,17.155,18.660,20.391,NULL,9.268,9.941,13.435,13.960,79.990,81.710,89.363,90.527,13.686,14.160,17.716,17.907
673,7.794,8.730,9.817,11.080,12.560,14.320,16.390,8.384,9.388,10.510,11.770,13.180,14.760,16.530,75.327,78.454,81.580,84.707,87.833,90.960,94.086,77.324,80.266,83.207,86.148,89.089,92.030,94.971,12.172,13.138,14.231,15.474,16.896,18.535,20.438,12.726,13.644,14.673,15.835,17.153,18.658,20.389,NULL,9.274,9.949,13.440,13.970,80.017,81.737,89.397,90.559,13.684,14.159,17.715,17.905
674,7.798,8.736,9.823,11.090,12.570,14.330,16.410,8.389,9.393,10.510,11.770,13.190,14.770,16.540,75.352,78.480,81.609,84.737,87.865,90.994,94.122,77.348,80.291,83.234,86.177,89.120,92.063,95.006,12.171,13.138,14.230,15.472,16.894,18.533,20.436,12.725,13.642,14.672,15.833,17.150,18.655,20.386,NULL,9.280,9.951,13.450,13.980,80.044,81.763,89.430,90.591,13.684,14.157,17.713,17.902
675,7.803,8.741,9.829,11.090,12.580,14.330,16.420,8.393,9.398,10.520,11.780,13.190,14.780,16.550,75.379,78.508,81.638,84.767,87.897,91.027,94.156,77.372,80.317,83.262,86.207,89.152,92.096,95.041,12.170,13.136,14.229,15.471,16.893,18.531,20.434,12.724,13.641,14.670,15.831,17.148,18.653,20.384,NULL,9.285,9.959,13.455,13.985,80.073,81.790,89.462,90.624,13.682,14.155,17.712,17.901
676,7.808,8.746,9.835,11.100,12.590,14.340,16.430,8.397,9.403,10.530,11.790,13.200,14.790,16.560,75.403,78.535,81.666,84.798,87.929,91.061,94.192,77.396,80.343,83.290,86.236,89.183,92.130,95.076,12.170,13.135,14.228,15.470,16.891,18.529,20.432,12.723,13.640,14.668,15.829,17.146,18.651,20.381,NULL,9.290,9.966,13.465,13.995,80.100,81.817,89.495,90.656,13.681,14.154,17.710,17.898
677,7.813,8.751,9.841,11.110,12.600,14.350,16.440,8.402,9.408,10.530,11.790,13.210,14.800,16.570,75.427,78.561,81.694,84.828,87.962,91.095,94.229,77.420,80.369,83.317,86.266,89.214,92.163,95.112,12.169,13.134,14.226,15.468,16.889,18.528,20.430,12.722,13.638,14.667,15.827,17.144,18.648,20.379,NULL,9.296,9.969,13.475,14.005,80.127,81.843,89.528,90.689,13.680,14.152,17.709,17.896
