edadDias,SD3negPEF,SD2negPEF,SD1negPEF,SD0PEF,SD1PEF,SD2PEF,SD3PEF,SD3negPEM,SD2negPEM,SD1negPEM,SD0PEM,SD1PEM,SD2PEM,SD3PEM,SD3negTEF,SD2negTEF,SD1negTEF,SD0TEF,SD1TEF,SD2TEF,SD3TEF,SD3negTEM,SD2negTEM,SD1negTEM,SD0TEM,SD1TEM,SD2TEM,SD3TEM,SD3negIEF,SD2negIEF,SD1negIEF,SD0IEF,SD1IEF,SD2IEF,SD3IEF,SD3negIEM,SD2negIEM,SD1negIEM,SD0IEM,SD1IEM,SD2IEM,SD3IEM,Rotulo,SD15negPEF,SD15negPEM,SD15PEF,SD15PEM,SD15negTEF,SD15negTEM,SD15TEF,SD15TEM,SD15negIEF,SD15negIEM,SD15IEF,SD15IEM
3495,19.315,22.139,25.672,30.210,36.156,44.223,55.570,19.705,22.339,25.611,29.772,35.194,42.489,52.696,117.123,123.400,129.677,135.954,142.231,148.508,154.785,116.879,123.097,129.315,135.533,141.750,147.969,154.186,12.250,13.318,14.652,16.378,18.714,22.103,27.582,12.676,13.620,14.783,16.260,18.218,20.979,25.270,NULL,23.905,23.975,40.190,38.842,126.539,126.207,145.369,144.859,13.985,14.202,20.408,19.598
3496,19.321,22.146,25.680,30.220,36.169,44.239,55.592,19.709,22.344,25.618,29.780,35.205,42.504,52.719,117.138,123.415,129.693,135.970,142.249,148.526,154.804,116.890,123.110,129.328,135.547,141.765,147.984,154.203,12.250,13.319,14.654,16.379,18.715,22.106,27.587,12.676,13.621,14.784,16.261,18.219,20.981,25.275,NULL,23.913,23.981,40.204,38.855,126.554,126.219,145.387,144.875,13.986,14.202,20.411,19.600
3497,19.327,22.153,25.688,30.230,36.181,44.255,55.614,19.713,22.349,25.624,29.788,35.216,42.519,52.741,117.152,123.430,129.709,135.987,142.266,148.544,154.823,116.901,123.122,129.341,135.561,141.780,148.000,154.220,12.251,13.320,14.655,16.380,18.717,22.109,27.592,12.677,13.621,14.785,16.262,18.221,20.984,25.280,NULL,23.920,23.987,40.218,38.868,126.569,126.232,145.404,144.890,13.987,14.203,20.413,19.602
3498,19.333,22.160,25.696,30.240,36.193,44.272,55.635,19.717,22.355,25.631,29.796,35.227,42.535,52.763,117.166,123.445,129.725,136.003,142.283,148.562,154.842,116.913,123.134,129.354,135.575,141.795,148.016,154.236,12.252,13.320,14.656,16.382,18.719,22.111,27.597,12.677,13.622,14.786,16.263,18.222,20.986,25.284,NULL,23.928,23.993,40.232,38.881,126.585,126.244,145.422,144.906,13.988,14.204,20.415,19.604
3499,19.338,22.166,25.704,30.250,36.205,44.288,55.657,19.722,22.360,25.637,29.804,35.238,42.550,52.785,117.180,123.460,129.740,136.020,142.300,148.580,154.860,116.924,123.146,129.367,135.589,141.810,148.032,154.253,12.253,13.321,14.657,16.383,18.721,22.114,27.602,12.678,13.623,14.786,16.264,18.224,20.989,25.289,NULL,23.935,23.998,40.247,38.894,126.600,126.257,145.440,144.921,13.989,14.205,20.418,19.606
3500,19.344,22.173,25.712,30.260,36.218,44.304,55.678,19.726,22.365,25.644,29.812,35.249,42.565,52.808,117.195,123.475,129.756,136.036,142.318,148.598,154.879,116.935,123.158,129.380,135.603,141.825,148.048,154.270,12.253,13.322,14.658,16.385,18.723,22.117,27.607,12.678,13.623,14.787,16.265,18.225,20.991,25.294,NULL,23.943,24.004,40.261,38.907,126.616,126.269,145.457,144.937,13.990,14.205,20.420,19.608
3501,19.350,22.180,25.720,30.270,36.230,44.320,55.700,19.730,22.370,25.650,29.820,35.260,42.580,52.830,117.209,123.490,129.772,136.053,142.335,148.616,154.898,116.946,123.170,129.393,135.617,141.840,148.064,154.287,12.254,13.323,14.659,16.386,18.725,22.120,27.612,12.679,13.624,14.788,16.266,18.227,20.994,25.299,7,23.950,24.010,40.275,38.920,126.631,126.282,145.475,144.952,13.991,14.206,20.422,19.610
3502,19.356,22.187,25.729,30.280,36.243,44.337,55.723,19.735,22.375,25.657,29.829,35.272,42.596,52.853,117.224,123.506,129.788,136.070,142.353,148.635,154.917,116.957,123.182,129.406,135.631,141.855,148.081,154.305,12.255,13.324,14.660,16.387,18.727,22.123,27.617,12.680,13.625,14.789,16.267,18.229,20.997,25.304,NULL,23.958,24.016,40.290,38.934,126.647,126.295,145.493,144.968,13.992,14.207,20.425,19.613
3503,19.362,22.194,25.737,30.291,36.256,44.353,55.745,19.739,22.381,25.663,29.837,35.283,42.612,52.877,117.239,123.521,129.805,136.087,142.371,148.653,154.937,116.969,123.195,129.420,135.646,141.871,148.097,154.322,12.256,13.325,14.661,16.389,18.729,22.126,27.622,12.680,13.625,14.790,16.268,18.230,20.999,25.309,NULL,23.966,24.022,40.305,38.948,126.663,126.308,145.512,144.984,13.993,14.208,20.427,19.615
3504,19.368,22.201,25.746,30.301,36.269,44.370,55.768,19.744,22.386,25.670,29.846,35.295,42.628,52.900,117.254,123.537,129.821,136.104,142.389,148.672,154.956,116.980,123.207,129.433,135.660,141.886,148.113,154.340,12.256,13.326,14.662,16.390,18.731,22.129,27.627,12.681,13.626,14.791,16.269,18.232,21.002,25.314,NULL,23.974,24.028,40.319,38.962,126.679,126.321,145.530,145.000,13.994,14.208,20.430,19.617
3505,19.374,22.208,25.755,30.311,36.282,44.387,55.791,19.749,22.391,25.677,29.855,35.307,42.644,52.923,117.268,123.553,129.837,136.122,142.406,148.691,154.975,116.991,123.220,129.447,135.675,141.902,148.130,154.357,12.257,13.327,14.664,16.392,18.733,22.132,27.632,12.681,13.627,14.791,16.271,18.234,21.005,25.319,NULL,23.981,24.034,40.334,38.975,126.695,126.334,145.548,145.016,13.995,14.209,20.432,19.619
3506,19.380,22.215,25.763,30.322,36.295,44.403,55.813,19.753,22.397,25.683,29.863,35.318,42.660,52.947,117.283,123.568,129.854,136.139,142.424,148.709,154.995,117.003,123.232,129.460,135.689,141.917,148.147,154.375,12.258,13.328,14.665,16.393,18.735,22.135,27.637,12.682,13.627,14.792,16.272,18.235,21.007,25.324,NULL,23.989,24.040,40.349,38.989,126.711,126.347,145.566,145.032,13.996,14.210,20.435,19.621
3507,19.386,22.222,25.772,30.332,36.308,44.420,55.836,19.758,22.402,25.690,29.872,35.330,42.676,52.970,117.298,123.584,129.870,136.156,142.442,148.728,155.014,117.014,123.244,129.474,135.704,141.933,148.163,154.392,12.259,13.329,14.666,16.395,18.737,22.138,27.643,12.683,13.628,14.793,16.273,18.237,21.010,25.329,NULL,23.997,24.046,40.364,39.003,126.727,126.359,145.585,145.048,13.997,14.211,20.437,19.623
3508,19.392,22.229,25.781,30.342,36.321,44.437,55.859,19.763,22.407,25.697,29.881,35.342,42.692,52.993,117.313,123.599,129.887,136.173,142.460,148.746,155.034,117.026,123.257,129.487,135.718,141.948,148.179,154.410,12.260,13.330,14.667,16.396,18.739,22.141,27.648,12.683,13.629,14.794,16.274,18.238,21.013,25.334,NULL,24.005,24.052,40.379,39.017,126.743,126.372,145.603,145.064,13.998,14.211,20.440,19.626
3509,19.398,22.236,25.789,30.353,36.334,44.453,55.881,19.767,22.413,25.703,29.889,35.353,42.708,53.017,117.328,123.615,129.903,136.190,142.478,148.765,155.053,117.037,123.269,129.500,135.732,141.964,148.196,154.427,12.260,13.331,14.668,16.398,18.741,22.143,27.653,12.684,13.630,14.795,16.275,18.240,21.015,25.340,NULL,24.013,24.058,40.394,39.031,126.759,126.385,145.621,145.080,14.000,14.212,20.442,19.628
3510,19.404,22.243,25.798,30.363,36.347,44.470,55.904,19.772,22.418,25.710,29.898,35.365,42.724,53.040,117.343,123.631,129.919,136.207,142.496,148.784,155.072,117.048,123.282,129.514,135.747,141.979,148.213,154.445,12.261,13.332,14.669,16.399,18.743,22.146,27.658,12.684,13.630,14.796,16.276,18.242,21.018,25.345,NULL,24.020,24.064,40.408,39.044,126.775,126.398,145.639,145.096,14.001,14.213,20.445,19.630
